iter	Passed	Remaining
0	1	129
1	2	119
2	3	118
3	4	110
4	5	111
5	7	109
6	8	108
7	9	106
8	10	106
9	11	104
10	12	103
11	13	102
12	15	100
13	16	100
14	17	99
15	18	98
16	19	97
17	21	96
18	22	94
19	23	94
20	24	92
21	25	91
22	26	90
23	28	89
24	29	88
25	30	86
26	31	85
27	32	84
28	34	83
29	35	82
30	36	80
31	37	79
32	38	78
33	39	76
34	40	75
35	41	74
36	42	72
37	43	71
38	45	71
39	46	70
40	47	68
41	48	66
42	49	65
43	50	64
44	51	63
45	53	62
46	54	61
47	55	60
48	56	58
49	57	57
50	59	56
51	60	55
52	61	54
53	62	53
54	63	52
55	64	50
56	65	49
57	67	48
58	68	47
59	69	46
60	70	45
61	71	43
62	72	42
63	74	41
64	75	40
65	76	39
66	77	38
67	79	37
68	80	36
69	81	34
70	82	33
71	83	32
72	85	31
73	86	30
74	87	29
75	88	28
76	89	26
77	90	25
78	92	24
79	93	23
80	94	22
81	95	20
82	96	19
83	98	18
84	99	17
85	100	16
86	101	15
87	102	14
88	104	12
89	105	11
90	106	10
91	108	9
92	109	8
93	110	7
94	112	5
95	113	4
96	114	3
97	115	2
98	116	1
99	118	0
